# Potential function.
#  r             r*V(r)
   0.000000E+00 -4.090650E+01
   1.000000E-08 -4.090650E+01
   1.260383E-08 -4.090650E+01
   1.588565E-08 -4.090650E+01
   2.002200E-08 -4.090650E+01
   2.523539E-08 -4.090650E+01
   3.180626E-08 -4.090650E+01
   4.008806E-08 -4.090650E+01
   5.052631E-08 -4.090649E+01
   6.368250E-08 -4.090649E+01
   8.026434E-08 -4.090649E+01
   1.011638E-07 -4.090649E+01
   1.275051E-07 -4.090648E+01
   1.607053E-07 -4.090648E+01
   2.025502E-07 -4.090648E+01
   2.552908E-07 -4.090647E+01
   3.217642E-07 -4.090646E+01
   4.055461E-07 -4.090645E+01
   5.111433E-07 -4.090644E+01
   6.442364E-07 -4.090642E+01
   8.119845E-07 -4.090640E+01
   1.023411E-06 -4.090637E+01
   1.289890E-06 -4.090634E+01
   1.625756E-06 -4.090630E+01
   2.049075E-06 -4.090625E+01
   2.582619E-06 -4.090618E+01
   3.255089E-06 -4.090610E+01
   4.102658E-06 -4.090600E+01
   5.170920E-06 -4.090587E+01
   6.517340E-06 -4.090570E+01
   8.214344E-06 -4.090550E+01
   1.035322E-05 -4.090523E+01
   1.304902E-05 -4.090491E+01
   1.644676E-05 -4.090449E+01
   2.072922E-05 -4.090397E+01
   2.612675E-05 -4.090331E+01
   3.292971E-05 -4.090248E+01
   4.150405E-05 -4.090143E+01
   5.231099E-05 -4.090011E+01
   6.593188E-05 -4.089844E+01
   8.309942E-05 -4.089635E+01
   1.047371E-04 -4.089370E+01
   1.320088E-04 -4.089037E+01
   1.663817E-04 -4.088618E+01
   2.097046E-04 -4.088088E+01
   2.643081E-04 -4.087422E+01
   3.331295E-04 -4.086582E+01
   4.198707E-04 -4.085523E+01
   5.291979E-04 -4.084189E+01
   6.669920E-04 -4.082509E+01
   8.406653E-04 -4.080393E+01
   1.059560E-03 -4.077727E+01
   1.335452E-03 -4.074370E+01
   1.683180E-03 -4.070143E+01
   2.121452E-03 -4.064823E+01
   2.673842E-03 -4.058130E+01
   3.370064E-03 -4.049712E+01
   4.247572E-03 -4.039131E+01
   5.353567E-03 -4.025841E+01
   6.747544E-03 -4.009165E+01
   7.626017E-03 -3.998697E+01
   8.504489E-03 -3.988261E+01
   9.058095E-03 -3.981701E+01
   9.334898E-03 -3.978426E+01
   9.611701E-03 -3.975154E+01
   9.750103E-03 -3.973519E+01
   9.888504E-03 -3.971885E+01
   9.923105E-03 -3.971477E+01
   9.957705E-03 -3.971068E+01
   9.975005E-03 -3.970864E+01
   9.983655E-03 -3.970762E+01
   9.992305E-03 -3.970660E+01
   9.996630E-03 -3.970609E+01
   9.997712E-03 -3.970596E+01
   9.998793E-03 -3.970583E+01
   9.999334E-03 -3.970577E+01
   9.999401E-03 -3.970576E+01
   9.999469E-03 -3.970575E+01
   9.999536E-03 -3.970575E+01
   9.999604E-03 -3.970574E+01
   9.999671E-03 -3.970573E+01
   9.999739E-03 -3.970572E+01
   9.999807E-03 -3.970571E+01
   9.999874E-03 -3.970571E+01
   9.999942E-03 -3.970570E+01
   1.000001E-02 -3.679919E+01
   1.000008E-02 -3.679918E+01
   1.000014E-02 -3.679917E+01
   1.000021E-02 -3.679916E+01
   1.000028E-02 -3.679915E+01
   1.000035E-02 -3.679915E+01
   1.000041E-02 -3.679914E+01
   1.000048E-02 -3.679913E+01
   1.000055E-02 -3.679912E+01
   1.000062E-02 -3.679911E+01
   1.000069E-02 -3.679911E+01
   1.000096E-02 -3.679907E+01
   1.000204E-02 -3.679895E+01
   1.000312E-02 -3.679882E+01
   1.000528E-02 -3.679856E+01
