Title	delta_0	delta_2	delta_4	delta_6
0.1	10.8636725848	-137.4964742064	507.7848793518	-380.1655717777
0.2	5.8414304932	-27.9737917389	56.0380900361	-32.9486627018
0.22	5.4119901189	-21.1629847702	30.8715927615	-14.1720152732
0.24	5.0695629774	-16.2062383324	13.151626004	-1.0688482828
0.26	4.7847671429	-12.4261540271	0.1299388588	8.4568929568
0.28	4.5489355217	-9.5128081017	-9.5727059964	15.481635171
0.3	4.3545108027	-7.2801854175	-16.7372192437	20.607695456
0.32	4.1911164255	-5.546692958	-22.0497563195	24.3499535912
0.34	4.0504761721	-4.1686664322	-26.0493923702	27.1120669307
0.36	3.9275014071	-3.0516590169	-29.0972578666	29.1657925531
0.38	3.8192389389	-2.1369094056	-31.4232833002	30.685244596
0.4	3.7237824173	-1.3857942763	-33.1819914775	31.7882239502
0.42	3.6396478409	-0.7699053948	-34.4882230163	32.5626436251
0.44	3.5655200094	-0.2663797552	-35.4332948333	33.0782701819
0.46	3.5001918414	0.1439733813	-36.0917749193	33.3916860103
0.48	3.4425612116	0.4775612597	-36.5254851967	33.5494062934
0.5	3.3916359978	0.7484062719	-36.7856502542	33.5896241245
0.52	3.3465314881	0.9684942311	-36.9148379187	33.5438053114
0.54	3.3064573617	1.1480065033	-36.9480307474	33.4375405524
0.56	3.2707086375	1.2955271126	-36.9136384267	33.2913597909
0.58	3.2386582538	1.4181935066	-36.8342099244	33.121301074
0.6	3.2097501018	1.5218771203	-36.7272907343	32.9395941116
0.8	3.0156468852	2.1598240144	-35.6855827138	31.4539613505
1.0	2.8969484265	2.5624961509	-35.0461600457	30.5304982837
1.05	2.8744669232	2.6304340203	-34.8765306071	30.3153975938
1.06	2.870277974	2.642437171	-34.8414014732	30.272451394
1.07	2.8661884072	2.653921952	-34.8058620681	30.2295139493
1.08	2.8621970645	2.6648948879	-34.7699229296	30.1865904412
1.09	2.8583023786	2.6753620933	-34.7335840827	30.1436763347
1.1	2.854503409	2.6853306014	-34.6968620539	30.1007820921
1.2	2.8214520766	2.7593810546	-34.3109610375	29.673857523
1.4	2.7777514392	2.7986421256	-33.4966882515	28.8639884075
1.8	2.7413491563	2.7217177991	-32.2551677075	27.7357598451
2.0	2.7329945166	2.7039631096	-31.9703833928	27.4770773301
2.4	2.7205008727	2.7385550802	-31.8578396391	27.3424264664
2.8	2.7107769266	2.7995474421	-31.9431676023	27.3764796689
3.0	2.7070375438	2.8232887497	-31.9767321155	27.3900394575
