Title	delta_0	delta_2	delta_4	delta_6
0.4	3.7237824173	-1.3857942763	-33.1819914775	31.7882239502
0.5	3.3916359978	0.7484062719	-36.7856502542	33.5896241245
0.6	3.2097501018	1.5218771203	-36.7272907343	32.9395941116
0.8	3.0156468852	2.1598240144	-35.6855827138	31.4539613505
1.0	2.8969484265	2.5624961509	-35.0461600457	30.5304982837
1.05	2.8744669232	2.6304340203	-34.8765306071	30.3153975938
1.06	2.870277974	2.642437171	-34.8414014732	30.272451394
1.07	2.8661884072	2.653921952	-34.8058620681	30.2295139493
1.08	2.8621970645	2.6648948879	-34.7699229296	30.1865904412
1.09	2.8583023786	2.6753620933	-34.7335840827	30.1436763347
1.1	2.854503409	2.6853306014	-34.6968620539	30.1007820921
1.2	2.8214520766	2.7593810546	-34.3109610375	29.673857523
1.4	2.7777514392	2.7986421256	-33.4966882515	28.8639884075
1.8	2.7413491563	2.7217177991	-32.2551677075	27.7357598451
2.0	2.7329945166	2.7039631096	-31.9703833928	27.4770773301
2.4	2.7205008727	2.7385550802	-31.8578396391	27.3424264664
2.8	2.7107769266	2.7995474421	-31.9431676023	27.3764796689
3.0	2.7070375438	2.8232887497	-31.9767321155	27.3900394575
